"nume_actiune","timestamp"
"Listati materiile","2021-07-07T11:09:18.524067100"
"Listati clasele","2021-07-07T11:09:33.272662200"
"Stergeti clasa","2021-07-07T11:10:00.024494800"
"Listati clasele","2021-07-07T11:10:15.632604400"
